City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Udachnyy,RU,2021-10-21 22:37:58,66.4167,112.4,265.72,94,97,1.23
138,Kijang,KR,2021-10-21 22:42:16,35.2442,129.2139,282.0,71,3,2.93
139,Calbuco,CL,2021-10-21 22:42:17,-41.768,-73.1273,285.71,66,36,3.57
140,Nava,MX,2021-10-21 22:42:17,28.4167,-100.7667,302.58,58,94,1.34
141,Ancud,CL,2021-10-21 22:42:18,-41.8697,-73.8203,283.89,73,49,2.71
142,Nanortalik,GL,2021-10-21 22:42:18,60.1432,-45.2371,278.58,48,100,4.46
143,Aklavik,CA,2021-10-21 22:42:11,68.2191,-135.0107,275.61,85,50,4.84
144,Lebu,CL,2021-10-21 22:37:42,-37.6167,-73.65,283.49,68,1,8.28
145,Chokurdakh,RU,2021-10-21 22:38:10,70.6333,147.9167,246.48,97,91,1.66
146,Qaanaaq,GL,2021-10-21 22:42:09,77.484,-69.3632,255.26,75,16,3.55
147,Ostrovnoy,RU,2021-10-21 22:38:15,68.0531,39.5131,274.62,73,100,8.41
148,Birjand,IR,2021-10-21 22:42:20,32.8663,59.2211,282.41,53,0,5.14
149,Alghero,IT,2021-10-21 22:40:58,40.5589,8.3181,290.2,100,0,0.51
150,Banda Aceh,ID,2021-10-21 22:38:31,5.5577,95.3222,299.06,82,99,0.8
151,Jamkhed,IN,2021-10-21 22:42:20,18.7362,75.3121,293.61,61,28,2.0
152,Tasiilaq,GL,2021-10-21 22:38:11,65.6145,-37.6368,274.24,76,59,3.41
153,Honningsvag,NO,2021-10-21 22:38:56,70.9821,25.9704,276.5,56,98,13.26
154,Shitanjing,CN,2021-10-21 22:39:50,39.2342,106.3439,277.58,34,86,3.11
155,Ouallam,NE,2021-10-21 22:42:21,14.3188,2.0866,306.25,32,49,3.14
156,Santa Isabel,BR,2021-10-21 22:42:22,-23.3156,-46.2214,290.18,89,85,1.75
157,Iquitos,PE,2021-10-21 22:42:22,-3.7481,-73.2472,303.17,70,20,2.57
158,Inirida,CO,2021-10-21 22:42:23,3.8653,-67.9239,297.15,96,100,1.19
159,Tuktoyaktuk,CA,2021-10-21 22:42:23,69.4541,-133.0374,273.15,93,40,2.57
160,Samagaltay,RU,2021-10-21 22:42:23,50.6022,95.0047,270.96,55,9,0.6
161,Sistranda,NO,2021-10-21 22:42:24,63.7256,8.834,280.32,95,100,17.04
162,Bundaberg,AU,2021-10-21 22:42:24,-24.85,152.35,299.94,73,90,3.13
163,Talaya,RU,2021-10-21 22:42:25,61.3833,152.75,248.63,85,19,0.7
164,Olinda,BR,2021-10-21 22:40:10,-8.0089,-34.8553,301.0,78,75,3.6
165,Atar,MR,2021-10-21 22:42:25,20.5169,-13.0499,299.28,18,0,3.45
166,Sabang,ID,2021-10-21 22:39:40,5.8933,95.3214,300.32,73,98,1.16
167,Bada,RU,2021-10-21 22:42:26,51.392,109.8717,271.65,76,0,1.42
168,Saint-Augustin,CA,2021-10-21 22:40:30,51.226,-58.6502,277.79,60,43,4.23
